wallet_address,total_transactions,compound_transactions,first_transaction,last_transaction,unique_tokens,total_volume
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,3379,40,2019-09-02T19:09:07.000Z,2021-12-15T22:38:10.000Z,8,14553269.48234903
0x06b51c6882b27cb05e712185531c1f74996dd988,4,2,2020-10-16T00:16:57.000Z,2020-10-16T00:16:57.000Z,2,3.0
0x0795732aacc448030ef374374eaae57d2965c16c,3,2,2020-11-25T13:13:37.000Z,2020-11-25T13:13:37.000Z,2,3.0
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,37,2,2020-12-12T06:15:09.000Z,2020-12-12T06:15:09.000Z,2,3.0
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,4,2,2020-10-21T13:02:48.000Z,2020-10-21T13:02:48.000Z,2,3.0
